#;OrderNumber;OrderDate;Product Name;Warehouse Code;Channel;City;Country;Customer Names;Region Group;ABC_XYZ;RFM;Order Quantity;Unit Price;Line Total;Total Unit Cost;Profit;Margin
332;SO - 0003109;18.05.2015;Product 7;AXW291;Wholesale;M?nchen (Munich);Germany;Fenwal, Corp;Top Regions;AZ;422;11;1065,3;11718,3;575,262;5390,418;46
333;SO - 0005132;18.01.2016;Product 7;AXW291;Distributor;M?nchen (Munich);Germany;S.S.S. Group;Top Regions;AZ;242;11;877,7;9654,7;728,491;1641,299;17
334;SO - 0001256;13.10.2014;Product 7;AXW291;Wholesale;M?nchen (Munich);Germany;ETUDE Ltd;Top Regions;AZ;511;12;241,2;2894,4;185,724;665,712;23
335;SO - 0003317;08.06.2015;Product 7;AXW291;Wholesale;M?nchen (Munich);Germany;Avon Corp;Top Regions;AZ;425;12;2807,3;33687,6;1908,964;10780,032;32
336;SO - 0003321;08.06.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Medline;Top Regions;AZ;425;5;1078,7;5393,5;690,368;1941,66;36
337;SO - 0003471;29.06.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Prasco Group;Top Regions;AZ;331;5;1051,9;5259,5;462,836;2945,32;56
338;SO - 0005924;18.04.2016;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;S.S.S. Group;Top Regions;AZ;243;5;5179,1;25895,5;2434,177;13724,615;53
339;SO - 0002565;16.03.2015;Product 7;AXW291;Distributor;PRAHA (Prague);Czech Republic;Llorens Ltd;Top Regions;AZ;422;5;1125,6;5628;709,128;2082,36;37
340;SO - 000172;09.06.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;PEDIFIX, Corp;Top Regions;AZ;511;6;1005;6030;743,7;1567,8;26
341;SO - 0004198;28.09.2015;Product 7;AXW291;Distributor;PRAHA (Prague);Czech Republic;Mylan Corp;Top Regions;AZ;335;6;1065,3;6391,8;585,915;2876,31;45
342;SO - 000446;07.07.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;E. Ltd;Top Regions;AZ;513;7;844,2;5909,4;346,122;3486,546;59
343;SO - 0003024;04.05.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Apollo Ltd;Top Regions;AZ;423;7;214,4;1500,8;147,936;465,248;31
344;SO - 0003254;01.06.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;New Ltd;Top Regions;AZ;425;7;777,2;5440,4;528,496;1740,928;32
345;SO - 000820;18.08.2014;Product 7;AXW291;Distributor;PRAHA (Prague);Czech Republic;Llorens Ltd;Top Regions;AZ;515;7;227,8;1594,6;93,398;940,814;59
346;SO - 000599;28.07.2014;Product 7;AXW291;Export;PRAHA (Prague);Czech Republic;Apollo Ltd;Top Regions;AZ;511;7;2405,3;16837,1;1731,816;4714,388;28
347;SO - 000195;09.06.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Pure Group;Top Regions;AZ;511;8;1092,1;8736,8;436,84;5242,08;60
348;SO - 0001077;22.09.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Apollo Ltd;Top Regions;AZ;515;8;3839,1;30712,8;2034,723;14435,016;47
349;SO - 0002279;02.02.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Ohio;Top Regions;AZ;422;9;5601,2;50410,8;3080,66;22684,86;45
350;SO - 0004297;05.10.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Prasco Group;Top Regions;AZ;334;9;247,9;2231,1;101,639;1316,349;59
351;SO - 0005909;18.04.2016;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Select;Top Regions;AZ;243;9;3859,2;34732,8;1813,824;18408,384;53
352;SO - 0002056;12.01.2015;Product 7;AXW291;Distributor;PRAHA (Prague);Czech Republic;Prasco Group;Top Regions;AZ;424;9;5701,7;51315,3;4789,428;8210,448;16
353;SO - 0003761;03.08.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Weimei Corp;Top Regions;AZ;335;10;174,2;1742;116,714;574,86;33
354;SO - 0006265;30.05.2016;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Niconovum Corp;Top Regions;AZ;245;10;1105,5;11055;674,355;4311,45;39
355;SO - 000865;25.08.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Victory Ltd;Top Regions;AZ;514;11;2432,1;26753,1;1824,075;6688,275;25
356;SO - 0001124;22.09.2014;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Pacific Ltd;Top Regions;AZ;515;11;1695,1;18646,1;1101,815;6526,135;35
357;SO - 0003440;22.06.2015;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Uriel Group;Top Regions;AZ;334;11;3651,5;40166,5;2117,87;16869,93;42
358;SO - 0005986;25.04.2016;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;PEDIFIX, Corp;Top Regions;AZ;245;11;3939,6;43335,6;2560,74;15167,46;35
359;SO - 0001359;27.10.2014;Product 7;AXW291;Distributor;PRAHA (Prague);Czech Republic;Uriel Group;Top Regions;AZ;513;11;1118,9;12307,9;548,261;6277,029;51
360;SO - 0003410;22.06.2015;Product 7;AXW291;Export;PRAHA (Prague);Czech Republic;Ascend Ltd;Top Regions;AZ;334;11;2358,4;25942,4;1532,96;9079,84;35
361;SO - 0007880;05.12.2016;Product 7;AXW291;Wholesale;PRAHA (Prague);Czech Republic;Ole Group;Top Regions;AZ;155;12;3999,9;47998,8;1839,954;25919,352;54
362;SO - 000822;18.08.2014;Product 7;AXW291;Distributor;SOFIA;Bulgaria;AuroMedics Corp;Top Regions;AZ;515;5;1031,8;5159;763,532;1341,34;26
363;SO - 000424;07.07.2014;Product 7;AXW291;Export;SOFIA;Bulgaria;U.S. Ltd;Top Regions;AZ;513;5;254,6;1273;206,226;241,87;19
364;SO - 000979;08.09.2014;Product 7;AXW291;Distributor;SOFIA;Bulgaria;Nipro;Top Regions;AZ;512;6;1876;11256;1594,6;1688,4;15
365;SO - 0004839;14.12.2015;Product 7;AXW291;Distributor;SOFIA;Bulgaria;21st Ltd;Top Regions;AZ;333;6;871;5226;740,35;783,9;15
366;SO - 0005922;18.04.2016;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Select;Top Regions;AZ;243;7;1011,7;7081,9;708,19;2124,57;30
367;SO - 0001469;10.11.2014;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Victory Ltd;Top Regions;AZ;513;8;2532,6;20260,8;1899,45;5065,2;25
368;SO - 0004841;14.12.2015;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Ole Group;Top Regions;AZ;333;8;3845,8;30766,4;2384,396;11691,232;38
369;SO - 0006563;04.07.2016;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Uriel Group;Top Regions;AZ;154;8;2572,8;20582,4;1054,848;12143,616;59
370;SO - 0005983;25.04.2016;Product 7;AXW291;Distributor;SOFIA;Bulgaria;Eminence Corp;Top Regions;AZ;245;8;167,5;1340;70,35;777,2;58
371;SO - 0006268;30.05.2016;Product 7;AXW291;Export;SOFIA;Bulgaria;Rochester Ltd;Top Regions;AZ;245;8;1025,1;8200,8;656,064;2952,288;36
372;SO - 0002924;27.04.2015;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Apotheca, Ltd;Top Regions;AZ;425;9;5855,8;52702,2;3806,27;18445,77;35
373;SO - 0005797;04.04.2016;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Medline;Top Regions;AZ;244;9;3999,9;35999,1;2719,932;11519,712;32
374;SO - 0001137;29.09.2014;Product 7;AXW291;Distributor;SOFIA;Bulgaria;Qualitest;Top Regions;AZ;514;9;3986,5;35878,5;3268,93;6458,13;18
375;SO - 000618;28.07.2014;Product 7;AXW291;Export;SOFIA;Bulgaria;Mylan Corp;Top Regions;AZ;511;9;1125,6;10130,4;889,224;2127,384;21
376;SO - 0003343;15.06.2015;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Linde;Top Regions;AZ;332;10;5835,7;58357;4026,633;18090,67;31
377;SO - 0005720;28.03.2016;Product 7;AXW291;Distributor;SOFIA;Bulgaria;Mylan Corp;Top Regions;AZ;244;11;2680;29480;1608;11792;40
378;SO - 0003126;18.05.2015;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Victory Ltd;Top Regions;AZ;422;12;2941,3;35295,6;2176,562;9176,856;26
379;SO - 0005721;28.03.2016;Product 7;AXW291;Wholesale;SOFIA;Bulgaria;Prasco Group;Top Regions;AZ;244;12;4006,6;48079,2;3125,148;10577,424;22
380;SO - 0005152;18.01.2016;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Ascend Ltd;Lower Regions;AZ;242;5;1782,2;8911;1354,472;2138,64;24
381;SO - 000105;26.05.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Bare;Lower Regions;AZ;511;6;1822,4;10934,4;1476,144;2077,536;19
382;SO - 000317;23.06.2014;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Eminence Corp;Lower Regions;AZ;512;6;2881;17286;1584,55;7778,7;45
383;SO - 0005634;14.03.2016;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;U.S. Ltd;Lower Regions;AZ;241;6;3872,6;23235,6;1703,944;13011,936;56
384;SO - 000104;26.05.2014;Product 7;AXW291;Export;Dnepropetrovsk;Ukraine;Fenwal, Corp;Lower Regions;AZ;511;6;2324,9;13949,4;1464,687;5161,278;37
385;SO - 0008074;26.12.2016;Product 7;AXW291;Export;Dnepropetrovsk;Ukraine;Trigen;Lower Regions;AZ;153;6;6545,9;39275,4;5498,556;6284,064;16
386;SO - 000515;14.07.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;PEDIFIX, Corp;Lower Regions;AZ;512;7;1829,1;12803,7;1463,28;2560,74;20
387;SO - 0004577;16.11.2015;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;U.S. Ltd;Lower Regions;AZ;335;7;1715,2;12006,4;943,36;5402,88;45
388;SO - 0005299;08.02.2016;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Medsep Group;Lower Regions;AZ;242;7;5909,4;41365,8;4432,05;10341,45;25
389;SO - 000262;16.06.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Uriel Group;Lower Regions;AZ;512;8;1105,5;8844;652,245;3626,04;41
390;SO - 000566;21.07.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Procter Corp;Lower Regions;AZ;515;8;1996,6;15972,8;898,47;8785,04;55
391;SO - 0005059;11.01.2016;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Apollo Ltd;Lower Regions;AZ;245;8;6090,3;48722,4;2618,829;27771,768;57
392;SO - 0001216;06.10.2014;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Ohio;Lower Regions;AZ;511;8;1118,9;8951,2;581,828;4296,576;48
393;SO - 0002211;26.01.2015;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Apollo Ltd;Lower Regions;AZ;424;9;2010;18090;1386,9;5607,9;31
394;SO - 0005094;11.01.2016;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;PEDIFIX, Corp;Lower Regions;AZ;245;9;1005;9045;673,35;2984,85;33
395;SO - 000126;02.06.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;U.S. Ltd;Lower Regions;AZ;515;11;174,2;1916,2;95,81;862,29;45
396;SO - 000153;02.06.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Medsep Group;Lower Regions;AZ;515;11;3926,2;43188,2;3062,436;9501,404;22
397;SO - 000175;09.06.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Avon Corp;Lower Regions;AZ;511;11;2224,4;24468,4;1579,324;7095,836;29
398;SO - 0001739;08.12.2014;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Medsep Group;Lower Regions;AZ;424;11;2633,1;28964,1;2238,135;4344,615;15
399;SO - 0007655;07.11.2016;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;S.S.S. Group;Lower Regions;AZ;152;11;1025,1;11276,1;871,335;1691,415;15
400;SO - 000570;21.07.2014;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Medsep Group;Lower Regions;AZ;515;11;167,5;1842,5;125,625;460,625;25
401;SO - 0005671;21.03.2016;Product 7;AXW291;Wholesale;Dnepropetrovsk;Ukraine;Rochester Ltd;Lower Regions;AZ;242;12;1319,9;15838,8;1042,721;3326,148;21
402;SO - 0001487;10.11.2014;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Medsep Group;Lower Regions;AZ;513;12;1031,8;12381,6;815,122;2600,136;21
403;SO - 0004107;14.09.2015;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Select;Lower Regions;AZ;333;12;4020;48240;2653,2;16401,6;34
404;SO - 0007028;29.08.2016;Product 7;AXW291;Distributor;Dnepropetrovsk;Ukraine;Winthrop;Lower Regions;AZ;151;12;3993,2;47918,4;3034,832;11500,416;24
405;SO - 0003335;08.06.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Qualitest;Mid Regions;AZ;425;5;194,3;971,5;118,523;378,885;39
406;SO - 0004019;07.09.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Qualitest;Mid Regions;AZ;332;5;850,9;4254,5;570,103;1403,985;33
407;SO - 0004302;12.10.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Weimei Corp;Mid Regions;AZ;331;5;1011,7;5058,5;455,265;2782,175;55
408;SO - 0006046;02.05.2016;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Fenwal, Corp;Mid Regions;AZ;241;5;1835,8;9179;1542,072;1468,64;16
409;SO - 0003306;08.06.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Fenwal, Corp;Mid Regions;AZ;425;6;3899,4;23396,4;3314,49;3509,46;15
410;SO - 0002470;02.03.2015;Product 7;AXW291;Distributor;Donetsk;Ukraine;Burt's Corp;Mid Regions;AZ;421;6;1748,7;10492,2;786,915;5770,71;55
411;SO - 0007013;22.08.2016;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Amylin Group;Mid Regions;AZ;153;7;737;5159;368,5;2579,5;50
412;SO - 000937;01.09.2014;Product 7;AXW291;Distributor;Donetsk;Ukraine;Uriel Group;Mid Regions;AZ;511;7;3946,3;27624,1;1973,15;13812,05;50
413;SO - 0004239;28.09.2015;Product 7;AXW291;Export;Donetsk;Ukraine;New Ltd;Mid Regions;AZ;335;7;3095,4;21667,8;2166,78;6500,34;30
414;SO - 0001099;22.09.2014;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Elorac, Corp;Mid Regions;AZ;515;8;6150,6;49204,8;3505,842;21158,064;43
415;SO - 0003265;01.06.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Nipro;Mid Regions;AZ;425;8;3973,1;31784,8;1708,433;18117,336;57
416;SO - 0007584;31.10.2016;Product 7;AXW291;Distributor;Donetsk;Ukraine;Llorens Ltd;Mid Regions;AZ;154;8;1788,9;14311,2;966,006;6583,152;46
417;SO - 0003921;24.08.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;U.S. Ltd;Mid Regions;AZ;331;9;1118,9;10070,1;648,962;4229,442;42
418;SO - 0004235;28.09.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Uriel Group;Mid Regions;AZ;335;9;4006,6;36059,4;1802,97;19832,67;55
419;SO - 0003405;22.06.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Medsep Group;Mid Regions;AZ;334;10;5721,8;57218;3719,17;20026,3;35
420;SO - 0007780;21.11.2016;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Select;Mid Regions;AZ;154;10;3966,4;39664;2181,52;17848,8;45
421;SO - 0001659;01.12.2014;Product 7;AXW291;Distributor;Donetsk;Ukraine;Niconovum Corp;Mid Regions;AZ;513;10;2291,4;22914;1191,528;10998,72;48
422;SO - 0004398;19.10.2015;Product 7;AXW291;Distributor;Donetsk;Ukraine;Avon Corp;Mid Regions;AZ;333;10;3959,7;39597;1940,253;20194,47;51
423;SO - 0001257;13.10.2014;Product 7;AXW291;Distributor;Donetsk;Ukraine;Elorac, Corp;Mid Regions;AZ;511;11;6016,6;66182,6;4392,118;17869,302;27
424;SO - 0004543;09.11.2015;Product 7;AXW291;Wholesale;Donetsk;Ukraine;Elorac, Corp;Mid Regions;AZ;334;12;6184,1;74209,2;3772,301;28941,588;39
425;SO - 0001575;17.11.2014;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Sundial;Top Regions;AZ;515;5;1922,9;9614,5;1211,427;3557,365;37
426;SO - 0007212;19.09.2016;Product 7;AXW291;Export;Napoli (Naples);Italy;Apollo Ltd;Top Regions;AZ;155;5;5708,4;28542;2283,36;17125,2;60
427;SO - 0007332;03.10.2016;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Weimei Corp;Top Regions;AZ;155;6;5889,3;35335,8;4711,44;7067,16;20
428;SO - 000535;21.07.2014;Product 7;AXW291;Export;Napoli (Naples);Italy;Ascend Ltd;Top Regions;AZ;515;6;1929,6;11577,6;849,024;6483,456;56
429;SO - 0001662;01.12.2014;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Fenwal, Corp;Top Regions;AZ;513;7;241,2;1688,4;115,776;877,968;52
430;SO - 0006434;20.06.2016;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Procter Corp;Top Regions;AZ;242;7;5654,8;39583,6;3110,14;17812,62;45
431;SO - 000274;16.06.2014;Product 7;AXW291;Distributor;Napoli (Naples);Italy;Winthrop;Top Regions;AZ;512;7;241,2;1688,4;115,776;877,968;52
432;SO - 0004065;07.09.2015;Product 7;AXW291;Distributor;Napoli (Naples);Italy;S.S.S. Group;Top Regions;AZ;332;7;850,9;5956,3;433,959;2918,587;49
433;SO - 0006537;04.07.2016;Product 7;AXW291;Distributor;Napoli (Naples);Italy;New Ltd;Top Regions;AZ;154;7;1105,5;7738,5;928,62;1238,16;16
434;SO - 000978;08.09.2014;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Eminence Corp;Top Regions;AZ;512;8;180,9;1447,2;135,675;361,8;25
435;SO - 0008081;26.12.2016;Product 7;AXW291;Distributor;Napoli (Naples);Italy;3LAB, Ltd;Top Regions;AZ;153;9;1862,6;16763,4;1117,56;6705,36;40
436;SO - 0002434;23.02.2015;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Niconovum Corp;Top Regions;AZ;424;10;3845,8;38458;2922,808;9229,92;24
437;SO - 0006020;02.05.2016;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;AuroMedics Corp;Top Regions;AZ;241;10;5118,8;51188;3890,288;12285,12;24
438;SO - 0007434;10.10.2016;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;21st Ltd;Top Regions;AZ;153;10;1768,8;17688;1238,16;5306,4;30
439;SO - 0005991;25.04.2016;Product 7;AXW291;Distributor;Napoli (Naples);Italy;Eminence Corp;Top Regions;AZ;245;10;1072;10720;428,8;6432;60
440;SO - 0007716;14.11.2016;Product 7;AXW291;Distributor;Napoli (Naples);Italy;Ei;Top Regions;AZ;155;10;2432,1;24321;1240,371;11917,29;49
441;SO - 0005914;18.04.2016;Product 7;AXW291;Export;Napoli (Naples);Italy;3LAB, Ltd;Top Regions;AZ;243;10;1212,7;12127;1006,541;2061,59;17
442;SO - 0002146;19.01.2015;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Trigen;Top Regions;AZ;423;11;1896,1;20857,1;1346,231;6048,559;29
443;SO - 0002505;09.03.2015;Product 7;AXW291;Wholesale;Napoli (Naples);Italy;Eminence Corp;Top Regions;AZ;421;11;1125,6;12381,6;607,824;5695,536;46
444;SO - 0001472;10.11.2014;Product 7;AXW291;Distributor;Napoli (Naples);Italy;Wuxi Group;Top Regions;AZ;513;11;2666,6;29332,6;1893,286;8506,454;29
445;SO - 000728;11.08.2014;Product 7;AXW291;Wholesale;Birmingham;UK;Ohio;Top Regions;AZ;514;5;1876;9380;1500,8;1876;20
446;SO - 0005158;18.01.2016;Product 7;AXW291;Wholesale;Birmingham;UK;Pacific Ltd;Top Regions;AZ;242;5;1058,6;5293;571,644;2434,78;46
447;SO - 000643;04.08.2014;Product 7;AXW291;Distributor;Birmingham;UK;Niconovum Corp;Top Regions;AZ;515;7;1005;7035;462,3;3798,9;54
448;SO - 0001753;15.12.2014;Product 7;AXW291;Wholesale;Birmingham;UK;Trigen;Top Regions;AZ;422;9;2412;21708;1640,16;6946,56;32
449;SO - 0002145;19.01.2015;Product 7;AXW291;Wholesale;Birmingham;UK;Qualitest;Top Regions;AZ;423;9;2331,6;20984,4;1282,38;9442,98;45
450;SO - 0002524;09.03.2015;Product 7;AXW291;Wholesale;Birmingham;UK;Ole Group;Top Regions;AZ;421;9;2552,7;22974,3;1455,039;9878,949;43
451;SO - 0004055;07.09.2015;Product 7;AXW291;Wholesale;Birmingham;UK;AuroMedics Corp;Top Regions;AZ;332;9;6472,2;58249,8;3106,656;30289,896;52
452;SO - 0006568;04.07.2016;Product 7;AXW291;Wholesale;Birmingham;UK;Mylan Corp;Top Regions;AZ;154;9;234,5;2110,5;194,635;358,785;17
453;SO - 0006934;15.08.2016;Product 7;AXW291;Distributor;Birmingham;UK;Uriel Group;Top Regions;AZ;153;9;3839,1;34551,9;2418,633;12784,203;37
454;SO - 0002641;23.03.2015;Product 7;AXW291;Wholesale;Birmingham;UK;WakeFern;Top Regions;AZ;421;10;2613;26130;1620,06;9929,4;38
455;SO - 0004947;28.12.2015;Product 7;AXW291;Wholesale;Birmingham;UK;Ohio;Top Regions;AZ;241;10;1969,8;19698;1477,35;4924,5;25
456;SO - 0004942;28.12.2015;Product 7;AXW291;Distributor;Birmingham;UK;Select;Top Regions;AZ;241;10;221,1;2211;170,247;508,53;23
457;SO - 0006877;08.08.2016;Product 7;AXW291;Distributor;Birmingham;UK;Exact-Rx, Corp;Top Regions;AZ;151;10;2278;22780;1116,22;11617,8;51
458;SO - 0006859;08.08.2016;Product 7;AXW291;Wholesale;Birmingham;UK;New Ltd;Top Regions;AZ;151;11;3872,6;42598,6;1665,218;24281,202;57
459;SO - 0005193;25.01.2016;Product 7;AXW291;Distributor;Birmingham;UK;S.S.S. Group;Top Regions;AZ;244;11;194,3;2137,3;108,808;940,412;44
460;SO - 0003966;31.08.2015;Product 7;AXW291;Wholesale;Birmingham;UK;Medsep Group;Top Regions;AZ;332;12;6478,9;77746,8;4664,808;21769,104;28
461;SO - 000193;09.06.2014;Product 7;AXW291;Wholesale;Odessa;Ukraine;Prasco Group;Top Regions;AZ;511;5;1085,4;5427;922,59;814,05;15
462;SO - 000707;04.08.2014;Product 7;AXW291;Wholesale;Odessa;Ukraine;Pure Group;Top Regions;AZ;515;5;3886;19430;2797,92;5440,4;28
463;SO - 0004700;30.11.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Pacific Ltd;Top Regions;AZ;334;5;5621,3;28106,5;4215,975;7026,625;25
464;SO - 0007171;12.09.2016;Product 7;AXW291;Wholesale;Odessa;Ukraine;Procter Corp;Top Regions;AZ;153;5;5621,3;28106,5;3260,354;11804,73;42
465;SO - 0006135;16.05.2016;Product 7;AXW291;Distributor;Odessa;Ukraine;Prasco Group;Top Regions;AZ;245;5;5681,6;28408;4829,36;4261,2;15
466;SO - 0006727;25.07.2016;Product 7;AXW291;Distributor;Odessa;Ukraine;Pacific Ltd;Top Regions;AZ;155;5;3825,7;19128,5;2486,705;6694,975;35
467;SO - 0004240;28.09.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Eminence Corp;Top Regions;AZ;335;6;1125,6;6753,6;484,008;3849,552;57
468;SO - 000367;30.06.2014;Product 7;AXW291;Distributor;Odessa;Ukraine;Ohio;Top Regions;AZ;511;6;3953;23718;2095,09;11147,46;47
469;SO - 0003403;22.06.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Niconovum Corp;Top Regions;AZ;334;7;2559,4;17915,8;1356,482;8420,426;47
470;SO - 0004540;09.11.2015;Product 7;AXW291;Distributor;Odessa;Ukraine;Rochester Ltd;Top Regions;AZ;334;7;3859,2;27014,4;3241,728;4322,304;16
471;SO - 0006122;16.05.2016;Product 7;AXW291;Export;Odessa;Ukraine;Ei;Top Regions;AZ;245;7;1916,2;13413,4;1092,234;5767,762;43
472;SO - 0002758;06.04.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Linde;Top Regions;AZ;424;8;904,5;7236;642,195;2098,44;29
473;SO - 0004367;19.10.2015;Product 7;AXW291;Distributor;Odessa;Ukraine;PEDIFIX, Corp;Top Regions;AZ;333;8;1139;9112;831,47;2460,24;27
474;SO - 0008045;26.12.2016;Product 7;AXW291;Distributor;Odessa;Ukraine;Bare;Top Regions;AZ;153;8;6284,6;50276,8;4650,604;13071,968;26
475;SO - 000323;23.06.2014;Product 7;AXW291;Wholesale;Odessa;Ukraine;PEDIFIX, Corp;Top Regions;AZ;512;9;2479;22311;2057,57;3792,87;17
476;SO - 0001145;29.09.2014;Product 7;AXW291;Wholesale;Odessa;Ukraine;PEDIFIX, Corp;Top Regions;AZ;514;9;1809;16281;1230,12;5209,92;32
477;SO - 0002689;30.03.2015;Product 7;AXW291;Distributor;Odessa;Ukraine;Llorens Ltd;Top Regions;AZ;424;9;1031,8;9286,2;650,034;3435,894;37
478;SO - 0003981;31.08.2015;Product 7;AXW291;Distributor;Odessa;Ukraine;Apollo Ltd;Top Regions;AZ;332;10;174,2;1742;109,746;644,54;37
479;SO - 0006167;16.05.2016;Product 7;AXW291;Export;Odessa;Ukraine;Ei;Top Regions;AZ;245;10;3825,7;38257;2869,275;9564,25;25
480;SO - 0002694;30.03.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Eminence Corp;Top Regions;AZ;424;11;1728,6;19014,6;1037,16;7605,84;40
481;SO - 0003906;17.08.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;E. Ltd;Top Regions;AZ;333;11;167,5;1842,5;112,225;608,025;33
482;SO - 0002762;06.04.2015;Product 7;AXW291;Wholesale;Odessa;Ukraine;Sundial;Top Regions;AZ;424;12;1098,8;13185,6;813,112;3428,256;26
483;SO - 0006617;11.07.2016;Product 7;AXW291;Distributor;Odessa;Ukraine;Dharma Ltd;Top Regions;AZ;153;12;4013,3;48159,6;2568,512;17337,456;36
484;SO - 000316;23.06.2014;Product 7;AXW291;Wholesale;K?ln (Cologne);Germany;Linde;Top Regions;AZ;512;5;3939,6;19698;1969,8;9849;50
485;SO - 000482;14.07.2014;Product 7;AXW291;Wholesale;K?ln (Cologne);Germany;Llorens Ltd;Top Regions;AZ;512;6;864,3;5185,8;726,012;829,728;16
486;SO - 0006168;16.05.2016;Product 7;AXW291;Wholesale;K?ln (Cologne);Germany;Niconovum Corp;Top Regions;AZ;245;6;3946,3;23677,8;2525,632;8524,008;36
487;SO - 0005402;15.02.2016;Product 7;AXW291;Distributor;K?ln (Cologne);Germany;Medsep Group;Top Regions;AZ;244;6;2592,9;15557,4;1685,385;5445,09;35
488;SO - 0003845;10.08.2015;Product 7;AXW291;Export;K?ln (Cologne);Germany;Ei;Top Regions;AZ;333;6;1319,9;7919,4;725,945;3563,73;45
489;SO - 0001970;01.01.2015;Product 7;AXW291;Wholesale;K?ln (Cologne);Germany;Apotheca, Ltd;Top Regions;AZ;422;7;5165,7;36159,9;2066,28;21695,94;60
